 ['forest  feature  index'] , ['forest  rank'] , ['forest  word'] , ['SGD  feature  index'] , ['SGD  rank'] , ['SGD  word'] , ['logistic  feature  index'] , ['logistic  rank'] , ['logistic  word'] 
221,0.0,appear,661,0.92996681985100038,counter,323,0.1221268581663503,begin
222,0.0,appears,2313,0.92338378247623221,smart,2215,0.12191911090266841,second
223,0.0,applicable,2331,0.92187843282750048,space,2503,0.12165512015198313,times
224,0.0,application,1505,0.92094636867526003,lose,1489,0.12161900529621728, loans  mortgages 
225,0.0,applications,2257,0.91882887538717306,settle,346,0.12150558412418713,blogger
226,0.0,applied,1197,0.91808931890196854,happen,173,0.12148592518499343,advanced
227,0.0,applies,1466,0.91780473970669596,link,2616,0.12120288329587998,variety
228,0.0,apply,2281,0.91086044438424363,showing,116,0.12108963799108649,absolutely
229,0.0,applying,1673,0.9096883150007502,nearly,708,0.12078942834681686,cross
230,0.0,appreciate,2332,0.9063505287676229,speak,322,0.12033092046073021,began
231,0.0,approach,900,0.89692390425570057,employees,1012,0.12032468089582919,favorite
232,0.0,approaches,17,0.89618826139734697,14,1388,0.11991285973291209,kind
233,0.0,appropriate,727,0.8950533879093302,dave,50,0.11982912283441038,22
235,0.0,approve,1186,0.89468517757372301,guide,932,0.11973876586352672,especially
237,0.0,april,2026,0.88907929261593621,realistic,2413,0.1196838860875611,submitting
238,0.0,area,2571,0.88852123057608623,unexpected,1085,0.11965539961959305,format
241,0.0,argue,787,0.88848529787620978,desire,2604,0.11935843264782173,utilities
242,0.0,arise,2305,0.88172244877032457,skills,908,0.1193363113860189,energy
243,0.0,arrange,1765,0.87788815247829888,original,1570,0.1192952354993059,marked
244,0.0,arrangement,1130,0.87575302187662107,getting,1994,0.11928854019625802,purposes
245,0.0,arrangements,679,0.87392890666571277,creating,1342,0.11912909183342268,internet
246,0.0,arrive,2152,0.87178410395014261,returns,1563,0.11871265178415116,managing
249,0.0,ask,2160,0.86913360198591461,rid,238,0.11854726789643033,area
250,0.0,asked,2082,0.86734775110277618,related,32,0.11848708228572899,2008
251,0.0,asking,1365,0.86470440250587843,item,2068,0.11766722164550351,refinance
252,0.0,aspect,1986,0.86461388785083348,published,2556,0.11733083560776804, type  business 
253,0.0,aspects,995,0.86452008321962259,fails,2422,0.11710482613739817,success
254,0.0,assess,1352,0.86422923791304984,invoices,1098,0.11702194533512843,freedom
255,0.0,assessed,2175,0.86386628804306942,routine,1075,0.11696954080080006,following
258,0.0,assigned,71,0.8635259231412945,30,2511,0.11684181322764894,took
259,0.0,assist,40,0.8615944339946251,2014,2029,0.11674812211069471,realized
260,0.0,assistance,114,0.86133655352881933, able  pay ,243,0.11656858384444112,arrange
262,0.0,assume,2022,0.86072068321631368,ready,907,0.11650621437136839,ends
263,0.0,assuming,436,0.85858420354673926,career,1691,0.11648804206354289, new  credit 
264,0.0,atm,1397,0.85812664788444137,labor,2722,0.11625896349994447,years
265,0.0,attached,1732,0.85738050789102804,old,421,0.11620568426864684, car  payments 
266,0.0,attempt,567,0.85675938935099594,commitment,710,0.11613902656554984,currency
267,0.0,attempting,496,0.85592235558910279, checking  accounts ,1795,0.11606086147241561,particularly
268,0.0,attempts,698,0.85591710862553372, credit  unions ,952,0.11579649097469426,examples
269,0.0,attention,674,0.8535094027326493,covers,2720,0.11575150084429675, year  old 
270,0.0,attorney,2223,0.85033832753360261,seeing,2005,0.11573740847801306,raise
272,0.0,august,95,0.8470969031107336,55,1858,0.11537399845629512,placed
